,도그 드 보르도_1,도그 드 보르도_2,도그 드 보르도_3,도그 드 보르도_4,도그 드 보르도_5,도그 드 보르도_6,도그 드 보르도_7,도그 드 보르도_8,도그 드 보르도_9,도그 드 보르도_10,도그 드 보르도_11,도그 드 보르도_12,도그 드 보르도_13,도그 드 보르도_14,도그 드 보르도_15,도그 드 보르도_16,도그 드 보르도_17,도그 드 보르도_18,도그 드 보르도_19,도그 드 보르도_20
Animal,95.01651763916016,87.57974243164062,91.38626861572266,94.92916107177734,78.45732116699219,91.49103546142578,84.97354888916016,95.59835815429688,90.84075927734375,94.70123291015625,94.24822235107422,92.98560333251953,93.57462310791016,87.7098159790039,99.45671844482422,92.40701293945312,87.68968200683594,93.87142944335938,89.26883697509766,93.8338851928711
Pet,95.01651763916016,87.57974243164062,91.38626861572266,94.92916107177734,58.61433410644531,91.49103546142578,84.97354888916016,95.59835815429688,90.71685028076172,94.24359893798828,94.24822235107422,92.24006652832031,91.94923400878906,85.87481689453125,99.45671844482422,92.27750396728516,87.68968200683594,93.87142944335938,86.41014862060547,93.8338851928711
Canine,93.92665100097656,87.57974243164062,91.38626861572266,94.92916107177734,68.40133666992188,90.83937072753906,82.62842559814453,95.59835815429688,90.84075927734375,94.70123291015625,94.24822235107422,92.98560333251953,93.57462310791016,87.7098159790039,99.45671844482422,92.40701293945312,86.41393280029297,93.87142944335938,87.29064178466797,93.8338851928711
Mammal,93.92665100097656,87.57974243164062,91.38626861572266,94.92916107177734,76.5089111328125,90.83937072753906,82.62842559814453,95.59835815429688,90.84075927734375,94.70123291015625,94.24822235107422,92.98560333251953,93.57462310791016,87.7098159790039,99.45671844482422,92.40701293945312,86.41393280029297,93.87142944335938,89.26883697509766,93.8338851928711
Dog,93.70579528808594,87.57974243164062,91.38626861572266,94.92916107177734,57.473976135253906,90.07129669189453,0.0,95.59835815429688,90.71685028076172,94.24359893798828,94.24822235107422,91.70262145996094,87.59857177734375,64.69847869873047,99.45671844482422,91.97354888916016,0.0,93.87142944335938,84.6886215209961,93.8338851928711
Labrador Retriever,72.36212921142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.62055206298828,0.0,0.0,71.98571014404297,55.628116607666016,0.0,65.60408782958984,0.0,0.0,0.0,0.0
Bulldog,0.0,87.57974243164062,91.38626861572266,94.92916107177734,0.0,79.99504089355469,0.0,95.59835815429688,90.71685028076172,90.01494598388672,94.24822235107422,85.39115142822266,0.0,64.69847869873047,99.45671844482422,0.0,0.0,93.87142944335938,63.11629104614258,70.24443817138672
Person,0.0,79.4715347290039,0.0,0.0,0.0,0.0,82.26337432861328,0.0,55.19384765625,0.0,0.0,0.0,89.19161224365234,69.10946655273438,0.0,0.0,78.06987762451172,0.0,0.0,56.85713577270508
Human,0.0,79.4715347290039,0.0,0.0,0.0,0.0,82.26337432861328,0.0,55.19384765625,0.0,0.0,0.0,89.19161224365234,69.10946655273438,0.0,0.0,78.06987762451172,0.0,0.0,56.85713577270508
Food,0.0,68.89598083496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,64.26458740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7110366821289,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,85.47870635986328,93.09960174560547,0.0,0.0,0.0,86.150146484375,57.964996337890625,90.01494598388672,93.41616821289062,0.0,0.0,0.0,99.45671844482422,0.0,0.0,67.17367553710938,0.0,0.0
Pitbull,0.0,0.0,80.09644317626953,77.86302185058594,0.0,60.700801849365234,0.0,78.46060180664062,83.29708099365234,55.67829132080078,80.2448501586914,56.47142791748047,0.0,0.0,62.220611572265625,0.0,0.0,75.8582534790039,0.0,0.0
Painting,0.0,0.0,0.0,0.0,97.6534652709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,97.6534652709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,65.71027374267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,83.30057525634766,99.74768829345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.56778717041016,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,67.7048568725586,0.0,0.0,0.0,87.56144714355469,0.0,66.29159545898438,60.75885009765625,60.95341110229492,0.0,0.0,0.0,0.0,0.0,93.8338851928711
Sleeping,0.0,0.0,0.0,0.0,0.0,55.99979019165039,0.0,0.0,58.037044525146484,0.0,0.0,56.84003829956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,55.99979019165039,0.0,0.0,58.037044525146484,0.0,0.0,56.84003829956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,67.29698181152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.48160552978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7603759765625,0.0,0.0,87.59857177734375,60.537193298339844,0.0,0.0,0.0,65.13565826416016,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.34503173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.40460968017578,57.33991241455078,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.85295867919922,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.15616607666016,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7110366821289,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1267318725586,0.0,0.0,0.0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0618896484375,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85087966918945,0.0,0.0,0.0
Pajamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.30088424682617,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.30088424682617,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.30088424682617,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.26883697509766,0.0
