,재패니즈 스피츠_1,재패니즈 스피츠_2,재패니즈 스피츠_3,재패니즈 스피츠_4,재패니즈 스피츠_5,재패니즈 스피츠_6,재패니즈 스피츠_7,재패니즈 스피츠_8,재패니즈 스피츠_9,재패니즈 스피츠_10,재패니즈 스피츠_11,재패니즈 스피츠_12,재패니즈 스피츠_13,재패니즈 스피츠_14,재패니즈 스피츠_15,재패니즈 스피츠_16,재패니즈 스피츠_17,재패니즈 스피츠_18,재패니즈 스피츠_19,재패니즈 스피츠_20
Dog,96.48039245605469,96.77716064453125,97.65345001220703,94.25447845458984,97.78087615966797,96.93274688720703,96.97515106201172,93.47633361816406,93.15117645263672,73.04374694824219,99.87939453125,89.85151672363281,96.23704528808594,91.81990814208984,96.89759063720703,91.35759735107422,91.77481842041016,92.84283447265625,95.1297607421875,96.3414077758789
Mammal,96.48039245605469,96.8471450805664,97.65345001220703,94.93534088134766,98.09207916259766,97.09852600097656,96.97515106201172,94.9712142944336,95.03134155273438,95.81680297851562,99.87939453125,92.86930084228516,96.23704528808594,95.47785949707031,97.6015396118164,92.80773162841797,92.2226791381836,93.54315948486328,95.56172180175781,96.76143646240234
Pet,96.48039245605469,97.56228637695312,97.65345001220703,94.97111511230469,97.94606018066406,97.01603698730469,97.48107147216797,93.47633361816406,93.15117645263672,73.04374694824219,99.87939453125,90.68682861328125,96.23704528808594,92.48162841796875,97.66812896728516,92.20763397216797,91.77481842041016,93.03744506835938,95.1297607421875,96.58552551269531
Animal,96.48039245605469,97.56228637695312,97.65345001220703,94.97111511230469,98.09207916259766,97.09852600097656,97.48107147216797,94.9712142944336,95.03134155273438,95.81680297851562,99.87939453125,92.86930084228516,96.23704528808594,95.47785949707031,97.66812896728516,92.80773162841797,92.2226791381836,93.54315948486328,95.56172180175781,96.76143646240234
Canine,96.48039245605469,96.8471450805664,97.65345001220703,94.93534088134766,98.09207916259766,97.09852600097656,96.97515106201172,94.9712142944336,95.03134155273438,91.7673568725586,99.87939453125,92.86930084228516,96.23704528808594,95.47785949707031,97.6015396118164,92.80773162841797,91.77481842041016,93.54315948486328,95.56172180175781,96.76143646240234
Eskimo Dog,92.88668060302734,88.65096282958984,89.78855895996094,81.35675811767578,95.63121032714844,93.60794830322266,91.0450210571289,76.62037658691406,76.91246795654297,0.0,0.0,71.81175231933594,61.23329162597656,83.2015380859375,93.68354034423828,86.37471008300781,77.78353118896484,86.59117126464844,86.14485931396484,90.70897674560547
Wildlife,0.0,59.321128845214844,0.0,0.0,61.59295654296875,0.0,0.0,0.0,65.16079711914062,87.75108337402344,0.0,57.24211120605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,59.321128845214844,0.0,0.0,61.59295654296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,76.11463928222656,64.60140228271484,78.20771026611328,69.6486587524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,91.03572082519531,0.0,0.0,0.0,92.8087158203125,58.618988037109375,58.78217315673828,0.0,89.85151672363281,0.0,0.0,0.0,0.0,91.45784759521484,57.32604217529297,63.10873794555664,0.0
Puppy,0.0,0.0,0.0,58.12760925292969,0.0,0.0,0.0,90.13871765136719,0.0,0.0,99.87939453125,0.0,96.23704528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arctic Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.16079711914062,87.75108337402344,0.0,57.24211120605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.16079711914062,87.75108337402344,0.0,57.24211120605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.81680297851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.551822662353516,0.0,0.0,0.0,0.0,0.0,0.0,57.55181121826172,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88587188720703,0.0,0.0,0.0,0.0,77.37674713134766,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88587188720703,0.0,0.0,0.0,0.0,77.37674713134766,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88587188720703,0.0,0.0,0.0,0.0,77.37674713134766,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88587188720703,0.0,0.0,0.0,0.0,77.37674713134766,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88587188720703,0.0,0.0,0.0,0.0,77.37674713134766,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6942138671875,99.57807922363281,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.48719787597656,0.0,0.0,0.0
